suggestion_id,color_usage,design_usage,ux_suggestion,color_category,design_category,source
1,Bright white,Bright white backgrounds,"When you have bright white back grounds, eye is immediately drawn to what is different. When confronted with a page full of images and text, your eyes will automatically go to what stands out. ",Complementary colors,General,https://novacreative.com/5-benefits-of-using-white-space-in-design/
2,Bright white,Bright white backgrounds,"It’s difficult to comprehend a large amount of information at one time, our brains tend to skip over the entire thing. Bright white backgriunds automatically provides a place to rest.",Complementary colors,General,https://novacreative.com/5-benefits-of-using-white-space-in-design/
3,Bright white,Bright white backgrounds,Studies show that bright white backgrounds leads to better readability and understanding. This can be in the form of leading between lines of type or between graphic elements,Complementary colors,General,https://novacreative.com/5-benefits-of-using-white-space-in-design/
4,Bright white,Bright white backgrounds,"Bright white spaces create balance. So, messaging full of heavy text or multiple images needs something to balance it out, or else things get too overwhelming.",Complementary colors,General,https://novacreative.com/5-benefits-of-using-white-space-in-design/
5,Bright white,Bright white backgrounds,Bright white backgrounds around certain elements directs the viewer to what is most important.,Complementary colors,General,https://novacreative.com/5-benefits-of-using-white-space-in-design/
6,Bright white,Bright white backgrounds,Most luxury brands make generous use of bright white space. Our brains have become accustomed to associating white space with sophistication,Complementary colors,Products,https://novacreative.com/5-benefits-of-using-white-space-in-design/
7,Bright white,Bright white backgrounds,Simply adding white space gives an upscale aura to your brand.,Complementary colors,Products,https://novacreative.com/5-benefits-of-using-white-space-in-design/
8,Bright white,Bright white backgrounds,"One of the highly practiced principles of design, white spaces help users to make logical sense of the information presented to them.",Complementary colors,General,https://blog.prototypr.io/importance-of-white-space-in-design-5a40c0e65bfd
9,Bright white,Bright white backgrounds,More use of white spaces mean less use of content per fold which means more folds or pages to be developed to cover up content.,Complementary colors,General,https://blog.prototypr.io/importance-of-white-space-in-design-5a40c0e65bfd
10,Bright white,White wordings,When it comes to white wordings there is no better color than white to stand out on a color.,Complementary colors,General,https://blog.prototypr.io/importance-of-white-space-in-design-5a40c0e65bfd
11,Bright white,White wordings,"Why would world-renowned brands, like Nike and Twitter, use white wordings if it was a bad idea?",Complementary colors,Products,https://scottallencreative.com/is-white-font-good-or-bad/
12,Bright white,"White wordings, Bright white backgrounds",The key here is contrast. There are definitely times when white wordings won’t work if the contrast isn’t there.The key here is contrast. There are definitely times when white text won’t work if the contrast isn’t there.,Complementary colors,General,https://scottallencreative.com/is-white-font-good-or-bad/
13,Full black,"Black wordings, full black backgrounds",Many designers think it fit to use black blackgrounds and letters whenever they need to link a brand to power. Black is surely an intimidating color that sets a design apart from the others. ,Complementary colors,Products,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
14,Full black,Full black backgrounds,Black is also a favorite color to express your class and sophistication. People coming from high societal background often choose black black backgrounds.,Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
15,Full black,Full black backgrounds,"When black backgrounds are used in a graphic design, it eliminates the need for other colors, which makes the design much simpler.",Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
16,Full black,"Full black backgrounds, black wordings",Black letters and black backgrounds can express the elegance with the help of clean lines and simplicity of the design,Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
17,Full black,Full black backgrounds,In web design black backgrounds can overpower the other elements availabe in the web site,Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
18,Full black,Full black backgrounds,A professionally trained designer has to balance black backgrounds with other colors. A trick here is to use lighter colors to keep the right balance.,Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
19,Full black,Black wordings,"If proper spacing and kerning is ensured, there is no harm in using black wordings. However, make sure that the background color is different.",Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
20,Full black,Black wordings,You need to make the black wordings stand out against a lighter color background. Black is actually an ideal color for text as it stands out more clearly against a different color background.,Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
21,Full black,Black wordings,"Some graphic designers think that black wordings and full black backgrounds can put more strain on the eyes. So, evaluate your own graphic design needs in using black as the background and for text",Complementary colors,Products,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
22,Full black,Black wordings," Sometimes black backgrounds and black wordings can put more strain on the eyes. So, evaluate your own graphic design needs in using black as the background and for text",Complementary colors,General,"https://www.designhill.com/design-blog/power-of-black-color-in-graphic-design/#:~:text=There%20is%20interplay%20of%20light,and%20become%20loyal%20to%20it."
23,Full brown,Brown backgrounds,"Brown backgrounds and brown UI components might include decay, poverty, and boredom, it can also inspire more positive emotions in the right context",Complementary colors,General,"https://www.shutterstock.com/blog/design-color-themes-meaning#:~:text=To%20use%20brown%20alone%2C%20as,create%20an%20earthy%2C%20calming%20interior."
24,"Full brown, brown shades",Brown backgrounds,"Brown backgrounds and brown shades associated with dependability and reliability, making it a color with an open and honest nature",Analog colors,Products,"https://www.shutterstock.com/blog/design-color-themes-meaning#:~:text=To%20use%20brown%20alone%2C%20as,create%20an%20earthy%2C%20calming%20interior."
25,Full brown,Brown backgrounds,"Brown backgrounds are warmer than black, but retains the same neutrality, allowing it to be used in the background of designs to add a subtly cosy and warming quality",Complementary colors,General,"https://www.shutterstock.com/blog/design-color-themes-meaning#:~:text=To%20use%20brown%20alone%2C%20as,create%20an%20earthy%2C%20calming%20interior."
26,Full brown,Brown backgrounds,"Using brown backgrounds for designs, giving the viewers the sense of being grounded and accepted. It is sometimes used in interior schemes to create a sense of inclusion and belonging",Complementary colors,General,"https://www.shutterstock.com/blog/design-color-themes-meaning#:~:text=To%20use%20brown%20alone%2C%20as,create%20an%20earthy%2C%20calming%20interior."
27,Full brown,Brown backgrounds,"Brown backgrouns, gives the viewers the sense of being grounded and accepted. It is sometimes used in interior schemes to create a sense of inclusion and belonging",Complementary colors,General,"https://www.shutterstock.com/blog/design-color-themes-meaning#:~:text=To%20use%20brown%20alone%2C%20as,create%20an%20earthy%2C%20calming%20interior."
